,quality
1079,1
1202,1
823,0
183,0
89,0
1506,0
1276,0
1226,0
486,0
1259,0
385,0
1128,0
1063,0
708,0
1394,0
821,1
1406,0
961,0
955,0
462,0
372,0
35,0
1371,0
1422,0
1486,0
902,1
164,0
851,0
668,0
980,0
129,0
794,0
1568,0
1064,0
1449,1
855,1
430,1
676,0
207,0
1251,0
888,0
1469,0
503,1
1116,0
1055,0
711,0
1207,0
448,0
1270,0
1456,0
538,1
1433,1
1247,0
508,0
730,0
217,0
361,0
632,0
1534,1
905,0
733,0
634,0
442,1
1556,0
702,0
1099,0
1331,0
1493,0
812,0
1453,0
421,1
1381,0
1575,0
464,0
567,0
1345,0
139,0
926,0
929,1
667,0
169,0
1219,0
1158,0
976,0
654,0
342,0
176,0
639,0
1238,0
1389,0
679,0
607,0
1481,0
601,0
1520,0
1455,0
870,0
41,0
1006,1
1013,0
1356,0
1295,0
1147,1
58,0
383,0
1454,0
18,0
922,0
175,0
1081,1
512,0
535,0
188,0
22,0
583,1
1029,1
896,1
1022,0
829,0
1027,0
1376,0
866,0
822,0
1415,0
1131,0
1157,1
1016,1
106,0
878,0
1091,0
420,1
1347,0
670,0
234,0
52,0
125,0
614,0
962,0
793,0
1210,0
1529,0
1090,1
900,0
246,0
754,0
126,0
993,0
119,0
1150,1
841,0
1580,0
332,0
1432,0
1570,0
782,0
87,0
861,0
1057,0
154,0
1562,0
543,0
828,1
272,0
440,1
572,0
14,0
996,1
54,0
1221,0
191,0
833,0
469,0
388,0
1539,0
749,0
274,0
1451,1
1178,0
203,0
1060,0
755,0
367,0
1107,1
1578,0
228,0
892,0
410,0
1447,0
1154,0
101,0
624,0
1146,0
1596,0
1199,0
697,0
331,0
636,0
662,0
859,0
1536,0
1223,0
941,1
349,0
190,0
5,0
774,0
1411,0
1272,0
658,0
656,0
1323,1
1096,0
142,0
298,0
809,0
619,0
1343,0
536,0
837,1
1067,1
1368,0
294,0
308,0
1309,0
1461,0
1186,0
940,1
820,0
603,0
1181,0
484,0
212,0
947,1
1430,0
1268,0
537,0
1362,0
777,0
569,0
1250,0
1101,0
969,0
1073,0
565,0
1445,0
1235,0
1020,0
184,0
779,0
472,0
1177,1
1319,0
1137,0
874,1
1174,0
746,0
1152,0
1216,0
210,0
806,1
1087,0
847,0
208,0
241,0
1010,1
703,0
317,0
299,0
1115,0
1565,0
477,0
765,0
1540,0
117,0
983,0
122,0
1474,0
849,0
355,0
675,0
456,0
1336,0
1405,1
606,1
1075,1
918,0
723,0
548,0
23,0
467,0
64,0
945,1
327,0
556,0
1017,0
1271,0
300,0
568,0
1138,0
686,0
254,0
1416,0
1348,0
257,0
1201,1
898,1
237,0
263,0
16,1
1482,0
1317,0
215,0
1537,0
629,0
1395,0
229,0
161,0
803,0
587,0
852,0
1504,0
600,0
336,0
458,1
1005,1
401,0
1244,0
912,0
198,1
1293,0
43,0
416,0
875,1
695,0
1367,0
1209,1
1412,0
105,0
460,0
1468,1
494,0
921,0
1386,0
240,0
159,0
1030,1
742,0
287,0
1108,0
573,0
265,1
522,0
553,0
952,1
1262,0
704,0
693,0
157,0
405,0
104,0
661,0
1,0
1040,0
1283,0
1021,0
1144,0
865,0
1232,0
999,0
485,0
1544,1
1148,0
335,1
994,0
326,1
1220,0
1518,0
145,0
275,0
1208,1
582,0
479,0
886,0
801,0
914,0
540,0
1047,0
1050,0
1338,0
393,0
1072,0
10,0
1512,0
1428,0
216,0
621,0
549,0
557,0
1404,0
1229,0
1421,0
502,1
1393,0
358,1
93,0
978,1
1279,1
1245,0
189,0
1156,1
205,1
1110,0
715,0
722,0
223,0
1522,0
1353,0
1168,0
15,0
283,1
919,0
1408,1
594,0
883,0
570,0
403,0
1424,0
386,0
402,0
1117,0
281,1
1467,0
1169,0
1563,0
641,0
1264,0
211,0
575,0
1334,0
42,0
1288,0
1507,0
1113,0
1248,0
1573,0
412,0
637,0
63,0
221,0
499,0
586,1
1141,0
858,1
1463,0
804,0
187,0
768,0
29,0
780,0
1361,0
1591,0
227,0
1236,0
584,1
758,0
82,0
27,0
1285,0
71,0
76,0
1189,0
1139,0
1192,1
1234,0
45,0
277,0
1378,0
172,0
446,0
766,0
589,1
552,0
699,0
495,1
526,0
474,0
1492,0
1039,0
694,0
1025,0
13,0
11,0
910,0
34,0
725,0
1051,0
688,0
741,0
1581,0
964,0
473,0
368,0
796,0
438,0
130,0
959,0
678,0
973,0
1472,0
1588,0
1485,0
706,0
1089,1
195,0
819,0
1037,0
443,1
465,0
736,0
1171,0
1112,0
1036,1
1281,0
950,1
1375,0
1409,0
951,1
523,0
1315,0
1301,0
817,0
236,0
1049,0
1592,0
1136,0
258,0
904,1
558,0
395,1
252,0
623,0
1231,0
295,0
894,0
596,0
1155,0
151,0
307,0
657,1
1076,0
17,0
813,0
843,0
362,0
1198,0
971,0
148,0
262,0
893,0
1092,0
1042,0
322,0
1496,0
1525,0
580,0
645,1
1118,0
6,0
413,1
1365,0
1551,0
134,0
1598,0
1369,0
1205,1
620,0
514,1
881,0
2,0
1304,0
1080,0
318,1
107,0
1083,0
719,0
214,0
270,0
1162,1
301,0
786,0
1498,0
788,0
46,0
816,0
1151,0
982,0
1427,0
455,1
652,0
1335,0
1450,1
721,0
1058,1
1265,0
282,0
831,0
370,0
1527,0
545,0
771,0
1165,0
379,0
1206,1
68,0
90,0
1517,0
576,0
879,0
297,0
528,0
700,0
1095,0
520,0
1560,0
360,0
1287,0
510,0
942,1
761,0
1233,0
248,0
884,0
1061,1
102,0
1121,0
718,0
897,0
1035,1
877,0
147,0
1366,0
915,0
72,0
170,0
434,0
309,0
825,0
1043,1
784,0
1476,0
1048,0
1217,0
938,1
544,0
158,0
1489,0
232,0
251,0
441,0
943,1
279,1
1324,0
319,0
1303,0
493,0
356,0
811,0
653,0
199,0
269,0
436,0
454,0
651,0
701,0
933,0
1521,0
1340,0
1105,0
1384,0
482,0
644,0
845,0
772,0
954,0
1269,1
1176,0
1187,0
192,0
559,0
303,0
1358,0
1352,0
